id,name,depth,is_leaf,products,full_path,measured_need,measured_n,share_net_content,share_pack_count,share_colour,share_flavour,share_material,share_garment_size,share_scent,share_model_code,inferred_verdict,inferred_node,inferred_n,inferred_attrs,inferred_flagged_ancestor,inferred_tier
739,KOL,4,true,5,Makanan dan Minuman > FRESH > SAYURAN SEGAR > KOL,colour,1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,EXACT,"Makanan, Minuman & Tembakau > Item Makanan > Buah & Sayur > Sayur Segar & Beku > Kol",7,Informasi alergen | Varietas kubis | Metode memasak | Preferensi diet | Bentuk produk makanan | Persyaratan penyimpanan | Gaya pengolahan sayuran,False,exact-raw
745,LADA HITAM,4,true,5,Makanan dan Minuman > FRESH > SAYURAN SEGAR > LADA HITAM,colour|net_content,2,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
771,SELADA ROMAINE,4,true,5,Makanan dan Minuman > FRESH > SAYURAN SEGAR > SELADA ROMAINE,model_code|net_content,2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,UNMAPPED,,0,,,
781,TIMUN,4,true,5,Makanan dan Minuman > FRESH > SAYURAN SEGAR > TIMUN,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
789,TELUR AYAM KAMPUNG PACK,4,true,5,Makanan dan Minuman > FRESH > TELUR > TELUR AYAM KAMPUNG PACK,pack_count,1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
805,SUNBLOCK ANAK & BAYI,4,true,5,Keperluan Anak dan Bayi > PERAWATAN ANAK & BAYI > PERAWATAN KULIT ANAK & BAYI > SUNBLOCK ANAK & BAYI,model_code|net_content,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,UNMAPPED,,0,,,
823,STROLLER,4,true,5,Keperluan Anak dan Bayi > PERALATAN UNTUK ANAK & BAYI > PERALATAN BEPERGIAN ANAK & BAYI > STROLLER,model_code,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,UNMAPPED,,0,,,
868,GULING ANAK & BAYI,4,true,5,Keperluan Anak dan Bayi > PERLENGKAPAN ANAK & BAYI > PERLENGKAPAN TIDUR ANAK & BAYI > GULING ANAK & BAYI,model_code,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,UNMAPPED,,0,,,
885,KERTAS MINYAK WAJAH,4,true,5,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN WAJAH > KERTAS MINYAK WAJAH,pack_count,1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,EXACT,Kesehatan & Kecantikan > Perawatan Tubuh > Kosmetik > Alat Kosmetik > Alat Rias > Kertas Minyak Wajah,10,Bahan penyusun | Fitur | Keharuman | Bahan | Jenis kemasan | Sertifikasi & standar produk | Bentuk produk | Bentuk | Cocok untuk jenis kulit | Jenis penggunaan,False,exact-raw
908,BENANG GIGI (FLOSS) DEWASA,4,true,5,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN MULUT & GIGI > BENANG GIGI (FLOSS) DEWASA,flavour,1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
