id,name,name_en,depth,numchild,is_leaf,full_code,code,is_public,ancestors_are_public,path,parent_id,parent_name,ancestor_names,full_path_name,products,products_active,products_subtree
430,KAUS KAKI PRIA,,3,0,true,A008-12-01,01,true,true,0008000C0001,58,SEPATU PRIA,Fashion > SEPATU PRIA,Fashion > SEPATU PRIA > KAUS KAKI PRIA,244,232,244
431,SANDAL GUNUNG PRIA,,3,0,true,A008-12-02,02,true,true,0008000C0002,58,SEPATU PRIA,Fashion > SEPATU PRIA,Fashion > SEPATU PRIA > SANDAL GUNUNG PRIA,55,54,55
432,SANDAL PRIA,,3,0,true,A008-12-03,03,true,true,0008000C0003,58,SEPATU PRIA,Fashion > SEPATU PRIA,Fashion > SEPATU PRIA > SANDAL PRIA,782,762,782
433,SEPATU BOOTS PRIA,,3,0,true,A008-12-04,04,true,true,0008000C0004,58,SEPATU PRIA,Fashion > SEPATU PRIA,Fashion > SEPATU PRIA > SEPATU BOOTS PRIA,6,6,6
434,SEPATU FORMAL PRIA,,3,0,true,A008-12-05,05,true,true,0008000C0005,58,SEPATU PRIA,Fashion > SEPATU PRIA,Fashion > SEPATU PRIA > SEPATU FORMAL PRIA,26,26,26
435,SEPATU LOAFER PRIA,,3,0,true,A008-12-06,06,true,true,0008000C0006,58,SEPATU PRIA,Fashion > SEPATU PRIA,Fashion > SEPATU PRIA > SEPATU LOAFER PRIA,0,0,0
436,SEPATU SLIP ON PRIA,,3,0,true,A008-12-07,07,true,true,0008000C0007,58,SEPATU PRIA,Fashion > SEPATU PRIA,Fashion > SEPATU PRIA > SEPATU SLIP ON PRIA,17,17,17
437,SEPATU SNEAKERS PRIA,,3,0,true,A008-12-08,08,true,true,0008000C0008,58,SEPATU PRIA,Fashion > SEPATU PRIA,Fashion > SEPATU PRIA > SEPATU SNEAKERS PRIA,236,236,236
59,SEPATU WANITA,,2,9,false,A008-13,13,true,true,0008000D,8,Fashion,Fashion,Fashion > SEPATU WANITA,481,472,2046
438,KAUS KAKI WANITA,,3,0,true,A008-13-01,01,true,true,0008000D0001,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > KAUS KAKI WANITA,236,228,236
439,SANDAL GUNUNG WANITA,,3,0,true,A008-13-02,02,true,true,0008000D0002,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > SANDAL GUNUNG WANITA,7,7,7
440,SANDAL WANITA,,3,0,true,A008-13-03,03,true,true,0008000D0003,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > SANDAL WANITA,1086,1074,1086
441,SEPATU BOOTS WANITA,,3,0,true,A008-13-04,04,true,true,0008000D0004,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > SEPATU BOOTS WANITA,0,0,0
442,SEPATU FLAT DAN SEPATU BALET WANITA,,3,0,true,A008-13-05,05,true,true,0008000D0005,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > SEPATU FLAT DAN SEPATU BALET WANITA,62,60,62
443,SEPATU HAK TINGGI WANITA,,3,0,true,A008-13-06,06,true,true,0008000D0006,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > SEPATU HAK TINGGI WANITA,24,24,24
444,SEPATU SLIP ON WANITA,,3,0,true,A008-13-07,07,true,true,0008000D0007,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > SEPATU SLIP ON WANITA,59,59,59
445,SEPATU SNEAKERS WANITA,,3,0,true,A008-13-08,08,true,true,0008000D0008,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > SEPATU SNEAKERS WANITA,82,82,82
446,SEPATU WEDGES WANITA,,3,0,true,A008-13-09,09,true,true,0008000D0009,59,SEPATU WANITA,Fashion > SEPATU WANITA,Fashion > SEPATU WANITA > SEPATU WEDGES WANITA,9,9,9
60,TAS & KOPER,,2,4,false,A008-14,14,true,true,0008000E,8,Fashion,Fashion,Fashion > TAS & KOPER,456,417,4839
447,TAS ANAK,,3,3,false,A008-14-01,01,true,true,0008000E0001,60,TAS & KOPER,Fashion > TAS & KOPER,Fashion > TAS & KOPER > TAS ANAK,53,48,859
1261,TAS SELEMPANG ANAK,,4,0,true,A008-14-01-01,01,true,true,0008000E00010001,447,TAS ANAK,Fashion > TAS & KOPER > TAS ANAK,Fashion > TAS & KOPER > TAS ANAK > TAS SELEMPANG ANAK,122,66,122
1262,TAS RANSEL / PUNGGUNG ANAK,,4,0,true,A008-14-01-02,02,true,true,0008000E00010002,447,TAS ANAK,Fashion > TAS & KOPER > TAS ANAK,Fashion > TAS & KOPER > TAS ANAK > TAS RANSEL / PUNGGUNG ANAK,638,613,638
1263,DOMPET ANAK,,4,0,true,A008-14-01-03,03,true,true,0008000E00010003,447,TAS ANAK,Fashion > TAS & KOPER > TAS ANAK,Fashion > TAS & KOPER > TAS ANAK > DOMPET ANAK,46,34,46
448,TAS PRIA,,3,9,false,A008-14-02,02,true,true,0008000E0002,60,TAS & KOPER,Fashion > TAS & KOPER,Fashion > TAS & KOPER > TAS PRIA,142,133,1216
1264,DOMPET PRIA,,4,0,true,A008-14-02-01,01,true,true,0008000E00020001,448,TAS PRIA,Fashion > TAS & KOPER > TAS PRIA,Fashion > TAS & KOPER > TAS PRIA > DOMPET PRIA,104,103,104
1265,TAS CLUTCH PRIA,,4,0,true,A008-14-02-02,02,true,true,0008000E00020002,448,TAS PRIA,Fashion > TAS & KOPER > TAS PRIA,Fashion > TAS & KOPER > TAS PRIA > TAS CLUTCH PRIA,12,12,12
